zip_code,trips
28043,1
37917,1
90059,1
77501,1
46703,1
4675,1
60103,1
9456,1
1983,1
90701,1
55435,1
975030,1
80405,1
28134,1
17042,1
33541,1
1350000,1
56320,1
135000000,1
15211,1
10950,1
46037,1
854,1
28115,1
1065,1
95056,1
8901,1
94192,1
99770,1
70033,1
3042,1
3015000,1
80601,1
19031,1
60131,1
6284,1
45750,1
50701,1
96837,1
15102,1
9863,1
65044,1
94180,1
90607,1
6417,1
61790,1
29458,1
2160,1
63115,1
88005,1
19554,1
14114,1
58553,1
17055,1
46234,1
4118,1
94163,1
32224,1
33909,1
2153,1
98604,1
51063,1
59650,1
1208,1
71686,1
30228,1
60260,1
9451,1
19008,1
92260,1
675000,1
95406,1
91122,1
46373,1
2558,1
96954,1
4314,1
49690,1
650000,1
14472,1
30046,1
2468,1
94524,1
1649,1
46375,1
95012,1
9539,1
9500,1
90853,1
7143,1
63144,1
38002,1
48221,1
99706,1
64610,1
98120,1
9536,1
53901,1
12435,1
88200,1
195127,1
78539,1
95305,1
300769,1
36066,1
7700,1
95211,1
77059,1
60401,1
902104,1
93625,1
8410,1
7931,1
22078,1
47933,1
28715,1
98022,1
42203,1
9460,1
90102,1
85525,1
79401,1
90740,1
22142,1
1220,1
129128,1
53403,1
70817,1
44024,1
92372,1
3221,1
2770,1
2678,1
74066,1
37077,1
93942,1
5160011,1
10458,1
64106,1
23507,1
89146,1
530560,1
66615,1
9003,1
4390,1
94575,1
91755,1
5445,1
9568,1
8950,1
57560,1
93706,1
55455,1
560029,1
26505,1
12064,1
14701,1
17901,1
6888,1
90680,1
93544,1
24811,1
21756,1
28100,1
94307,1
19064,1
44202,1
46113,1
30045,1
7700277,1
37024,1
34210,1
2343,1
45242,1
95531,1
9493,1
60631,1
8701,1
1060045,1
950140,1
19390,1
55802,1
53086,1
77342,1
77065,1
97504,1
7474,1
7836,1
68000,1
9408,1
46628,1
94120,1
52544,1
95460,1
149110,1
91099,1
9426,1
3904,1
5999,1
94060,1
65401,1
97607,1
889503,1
46217,1
1887,1
98580,1
94586,1
45818000,1
95694,1
93613,1
21047,1
48191,1
17070,1
78410,1
11580,1
7203,1
3102,1
11787,1
60477,1
98058,1
13662,1
18458,1
9387,1
9880,1
1880,1
10965,1
97230,1
8113213,1
40356,1
31400,1
22070,1
7311,1
1410031,1
9609,1
41040,1
48324,1
37124,1
2021000,1
80106,1
5200,1
35803,1
78225,1
77454,1
6320,1
15241,1
87510,1
48340,1
4100,1
99202,1
49015,1
90152,1
12578,1
3161,1
81543,1
64566,1
18925,1
38305,1
33710,1
37122,1
10456,1
19608,1
1238,1
4020,1
18337,1
33761,1
19095,1
442150,1
37115,1
74647,1
98360,1
22150,1
73501,1
90256,1
39507,1
95509,1
7003,1
42301,1
49696,1
58270,1
37863,1
3554,1
49341,1
6751,1
4614001,1
52402,1
99026,1
94511,1
75246,1
14625,1
47269,1
86316,1
19170,1
54134,1
70560,1
52140,1
47007,1
48045,1
79518,1
66604,1
6043,1
44145,1
91028,1
53819,1
5700016,1
80434,1
1880001,1
36602,1
94059,1
92842,1
95631,1
68046,1
87124,1
890,1
66085,1
72072,1
46254,1
23517,1
6202,1
97075,1
97293,1
95247,1
85043,1
90410,1
174758,1
95024,1
99567,1
85708,1
96915,1
40509,1
95612,1
21714,1
15025,1
11557,1
4415,1
96932,1
31537,1
99452,1
5048,1
63031,1
72761,1
13275250,1
90190,1
49022,1
17630,1
66204,1
91790,1
2711,1
857066,1
7001,1
28750,1
9728,1
15541,1
8066,1
99503,1
79414,1
46140,1
3191,1
64151,1
47070,1
45111,1
333411,1
24424,1
95582,1
33309,1
19153,1
14823,1
940106,1
22455,1
6562,1
33010,1
6113,1
10970,1
36050,1
50225,1
1510066,1
23669,1
13783,1
99708,1
84939,1
11934,1
44233,1
4061001,1
61701,1
1600023,1
59840,1
11777,1
52722,1
53189,1
1110000,1
1179,1
78550,1
2543,1
78653,1
55565,1
9070,1
941108,1
10588,1
7928,1
64083,1
43139,1
