zip_code,trips
20005,1
89138,1
37405,1
90404,1
2138,1
96150,1
46077,1
94520,1
94023,1
94578,1
94554,1
96746,1
90405,1
95330,1
95497,1
91607,1
86004,1
43054,1
98107,2
48104,2
7747,2
75202,2
M4S1P,2
90018,2
30022,3
95819,3
74133,3
94214,3
20854,3
95757,3
10038,3
94511,3
96161,3
94088,3
10011,3
92130,4
90034,4
91103,4
946-2,4
91302,4
95103,4
95160,4
94662,4
32137,4
98031,5
20037,5
95765,5
98027,5
95409,5
95031,5
94140,5
97408,5
15221,6
95437,6
94012,6
98040,6
95391,6
7712,6
94533,6
20010,6
91789,6
20817,7
98134,7
94188,7
95156,8
48237,8
0,8
94142,9
95462,9
12533,9
92129,9
4568,10
95650,10
44118,10
90015,12
2140,12
94585,12
98036,12
14850,12
94107-3471,12
20001,12
95831,12
94580,13
10024,13
94564,14
80228,14
14300,14
90503,14
33408,16
95105,17
4133,17
9501,17
10021,19
94956,19
95033,20
95132,21
95864,21
91405,22
22206,22
95015,23
80126,23
60661,23
95814,23
90069,24
94101,25
v6z2x,25
94525,25
95610,26
92067,27
92866,27
94067,27
94589,28
95164,28
38478,28
60625,28
91320,29
53092,29
21701,31
19130,31
98119,33
98103,34
1720,36
94977,36
94621,36
98121,38
91354,38
95066,40
94516,40
60614,42
85253,42
95448,46
80203,46
95139,46
95815,47
94018,48
95172,49
95073,50
94302,50
98034,51
98104,51
95973,52
90803,52
94805,54
95370,55
60061,55
93930,57
94966,60
91106,61
94513,61
94026,62
10708,66
10009,68
94150,70
94304,73
95062,73
90403,73
94103-2585,74
95106,75
84106,75
98033,76
29103,76
95618,77
93950,77
80302,77
95133,78
94954,78
95404,78
94039,81
10014-3875,84
94978,84
95472,87
60622,89
95366,91
95442,94
94559,94
94928,97
95746,99
94545,99
95135,102
11201,104
91040,105
94583,105
94310,105
94146,108
95018,114
92882,115
94120,118
94592,125
94159,126
95121,127
94019,129
94946,132
96768,132
60091,135
99403,140
95348,141
84060,141
90291,142
94801,152
94542,153
92084,156
2139,159
94126,162
94506,164
27330,166
93922,167
94164,177
95476,178
94531,179
94017,183
94806,189
95608,199
2780,201
94931,201
5112,211
94027,211
97214,211
95116,212
94560,217
92506,232
94037,243
95620,259
94957,268
92064,271
94519,283
95127,319
94040-1724,320
94507,321
95616,344
95401,349
95138,351
94546,362
94555,368
89451,370
95109,382
94005,394
9611,400
94028,404
94973,417
94526,436
94119,439
94541,446
94552,453
94170,463
94309,485
93401,499
94042,509
94503,540
94517,546
95070,622
94547,637
95128,662
94134,663
95060,671
94565,693
95377,702
95123,707
94952,733
94538,734
94014,735
95020,780
94566,788
94130,789
94536,792
94550,812
94544,823
95131,824
94619,824
94803,838
95030,853
94521,858
94553,877
95037,903
95119,908
94595,911
94129,919
94539,933
94579,940
94577,947
94551,953
94556,968
95148,977
95122,978
94518,983
94601,1013
94587,1014
94947,1026
94534,1073
94563,1130
94582,1140
94089,1154
94502,1172
95134,1202
95035,1203
94605,1212
95118,1249
94804,1300
95136,1324
94949,1350
94596,1368
94305,1375
94015,1409
94945,1412
95120,1429
95124,1436
94523,1447
94598,1459
95111,1476
94709,1477
95032,1504
95125,1508
94568,1534
94591,1559
94930,1585
94965,1593
94080,1682
94085,1714
95054,1727
95008,1790
95050,1824
94704,1889
94939,1947
94132,1958
94510,1975
95130,2000
94127,2017
94022,2042
94710,2108
94607,2112
94588,2126
94558,2131
94597,2166
94044,2169
94124,2175
94708,2191
94590,2216
94925,2231
94530,2265
94707,2301
94904,2311
94024,2339
94606,2394
94123,2414
95129,2442
94920,2470
94706,2686
94116,2745
94066,3010
94121,3227
94702,3337
94063,3410
94960,3472
94065,3504
94901,3534
94705,3568
95051,3691
94703,3707
94549,3749
95126,3984
94104,4077
94941,4083
94043,4316
94612,4360
94030,4396
94131,4667
95014,4708
94618,4734
94903,4889
94112,4939
94086,4969
94061,5020
94118,5165
94115,5247
94062,5440
94609,5479
94303,5841
94122,5844
94301,6018
94306,6251
94401,6282
94002,6563
95113,6665
94402,6735
94087,6768
94404,6964
94041,7164
94608,7383
94070,8165
95110,8340
94108,8596
94010,8819
94025,8879
94114,9037
94040,9449
94110,9528
94501,9891
94610,10333
94403,10624
94602,10685
94117,11754
